id,created_at,author_id,text,clean_text
1975070221980586161,2025-10-06 05:26:50+00:00,903229236051247104,"Belum Ditempati Pejabat Negara, Tanah IKN Sudah Dikeruk Penambang Ilegal https://t.co/xLcooEqXHf","ditempati pejabat negara, tanah ikn dikeruk penambang ilegal"
1975069446617399786,2025-10-06 05:23:45+00:00,1309315554004541440,"Kemungkinan nya, 
Ngomong masalah menteri dan pejabat titipan nya agar di bikin betah. Kasus ijazahnya dan anaknya. IKN dan PSN ( termasuk reklamasi laut). Tambang tambang ilegal dan kisruh demo kemarin yg memakan korban. https://t.co/zEezCX0Vw0","nya, ngomong menteri pejabat titipan nya bikin betah. ijazahnya anaknya. ikn psn reklamasi laut . tambang tambang ilegal kisruh demo kemarin yg memakan korban."
1975069077346635959,2025-10-06 05:22:17+00:00,2214281461,"@NarasiNewsroom Niat baik,tetep di dukung,ktika pmrintah mengevaluasi,brrti pmrintah serius,drpd bangun jln tol sm ikn,q lbih mdukung MBG,,,","niat baik,tetep dukung,ktika pmrintah mengevaluasi,brrti pmrintah serius,drpd bangun jln tol sm ikn,q lbih mdukung mbg,,,"
1975064763182010546,2025-10-06 05:05:09+00:00,18071520,ANTARA -  ANTARA -  Otorita tindak tegas aktivitas tanpa izin merusak lingkungan IKN https://t.co/Mp7FIxlJJU https://t.co/fX4lWD42eR,otorita tindak aktivitas izin merusak lingkungan ikn
1975062131809935867,2025-10-06 04:54:41+00:00,778822646024720384,@ARSIPAJA orang zaman prasejarah lebih pintar dari jkw dan pejabat ikn karena mereka tinggal berkelompok di dekat aliran sungai,orang zaman prasejarah pintar jkw pejabat ikn tinggal berkelompok aliran sungai
1975060772465385538,2025-10-06 04:49:17+00:00,1606916636837318660,@ARSIPAJA Knp @brin_indonesia baru skr ngemeng stok air di IKN minim? Takut mulyono ga ngasih dana riset?,knp skr ngemeng stok air ikn minim? takut mulyono ga ngasih dana riset?
1975058016904122464,2025-10-06 04:38:20+00:00,301991950,"@ARSIPAJA Gak kaget karena ikn dikelilingi lahan gambut yang gak bisa menyimpan air seperti tanah, makanya orang Kalimantan banyak yang hidup dipinggir sungai karena bisa diambil airnya untuk kehidupan, gak perlu ngebor sampai dalam","gak kaget ikn dikelilingi lahan gambut gak menyimpan air tanah, orang kalimantan hidup dipinggir sungai diambil airnya kehidupan, gak ngebor"
1975056800614613429,2025-10-06 04:33:30+00:00,1007186700454412288,"@paulbalance @AkbarGID penting blok liat hasil nanti 🤣

IKN lahan kayu industri eukaliptus,jadi dari awal memang khusus ditebangi.
Papua itu luas banyak lahan yang harusnya bisa dikultivasi + mengurangi malnutrisi akut disana

Satu²nya proyek gagal ya food estate di kalteng itupun dah jadi hutan sawit","blok liat hasil ikn lahan kayu industri eukaliptus,jadi khusus ditebangi. papua luas lahan dikultivasi mengurangi malnutrisi akut disana satu²nya proyek gagal ya food estate kalteng itupun dah hutan sawit"
1975055783021978064,2025-10-06 04:29:28+00:00,1957382805073416192,"Swissôtel Nusantara Anniversary Run 2025, Simbol Geliat Baru di Jantung IKN

Perayaan hari jadi Swissôtel Nusantara tahun ini dikemas berbeda dan penuh makna. Melalui kegiatan Anniversary Run 2025, hotel bintang lima yang beroperasi di kawasan Ibu Kota Nusantara
#senin #cubarsi","swissôtel nusantara anniversary run 2025, simbol geliat jantung ikn perayaan swissôtel nusantara dikemas berbeda penuh makna. kegiatan anniversary run 2025, hotel bintang beroperasi kawasan kota nusantara"
1975052307772649585,2025-10-06 04:15:39+00:00,1744940909547094016,"@ARSIPAJA Suruh yg ngebet bangun ikn tinggal disana aja, biar tambah buduk krn gak ada air","suruh yg ngebet bangun ikn tinggal disana aja, biar buduk krn gak air"
1975052042562597248,2025-10-06 04:14:36+00:00,1140095241174650880,"@ARSIPAJA Alasan paling konyol, dalam pembukaan sebuah proyek hal pertama yg di jadikan pertimbangan minimal ada 2 hal, yaitu ketersediaan air dan aksesibilitas.
Jadi sebenarnya ikn tak layak sejak awal, otoritas yg menangani amdal proyek ini layak dipidanakan.","alasan konyol, pembukaan proyek yg jadikan pertimbangan minimal 2 hal, ketersediaan air aksesibilitas. ikn layak awal, otoritas yg menangani amdal proyek layak dipidanakan."
1975050761513152745,2025-10-06 04:09:30+00:00,953476834385059840,@ARSIPAJA lah itu mangkanya pembangunan itu harus matang jgn asal bgun dan buang² duid @jokowi heleh proyek apa ini masalah aja isinya kan udh dibilang IKN ITU BEBAN APBN BUKAN HAL YANG TERLALU PENTING DAN FOCUS UTAMA EKONOMI hadeh,mangkanya pembangunan matang jgn bgun buang² duid heleh proyek aja isinya udh dibilang ikn beban apbn focus utama ekonomi hadeh
1975050600959328388,2025-10-06 04:08:52+00:00,320841720,@ARSIPAJA ya emg sebelum bangun IKN ga dianalisis dulu ketersediaan airnya? langsung bangun aja ya 🫠,ya emg bangun ikn ga dianalisis ketersediaan airnya? langsung bangun aja ya
1975048734934520169,2025-10-06 04:01:27+00:00,1003546165105704962,@G0LIATH87 IKN adalah wajah baru peradaban Indonesia🇮🇩,ikn wajah peradaban indonesia
1972575773082173568,2025-09-29 08:14:47+00:00,1954463468511514624,@jackcfrost UTANG IKN DAN WOSSH BAYAR PAKE GINJALNYA. ENAK AJA CUMA JADI KASIR NGAKU2 MENTERI.,utang ikn wossh bayar pake ginjalnya. enak aja kasir ngaku2 menteri.
1972575392881090966,2025-09-29 08:13:16+00:00,30201110,Abu Bakar Baasyir Menegur Jokowi: Dari IKN ke Hukum Islam https://t.co/ZlU5Ab0eH1,abu bakar baasyir menegur jokowi ikn hukum islam
1972574541923934564,2025-09-29 08:09:54+00:00,1896817891426832385,"Bandar Udara Internasional Nusantara yang berlokasi di Ibu Kota Negara (IKN). Bandara ini dibangun oleh PT Hutama Karya (Persero) dan menjadi ikon kemajuan infrastruktur Indonesia.

#BUMNUntukIndonesia #BUMNCorner #BandaraNusantara #IKN #HutamaKarya #SetahunBerdampak https://t.co/c3THi8YF4E",bandar udara internasional nusantara berlokasi kota negara ikn . bandara dibangun pt hutama karya persero ikon kemajuan infrastruktur indonesia.
1972571925018026071,2025-09-29 07:59:30+00:00,1431798789665275904,"Di episode BUMN Corner kali ini, kita akan mengajak Sobat BUMN menjelajahi salah satu proyek kebanggaan negeri: Bandar Udara Internasional Nusantara yang berlokasi di Ibu Kota Negara (IKN).","episode bumn corner kali ini, mengajak sobat bumn menjelajahi salah proyek kebanggaan negeri bandar udara internasional nusantara berlokasi kota negara ikn ."
